,city,occupied,rescued,lat,lon
0,Ауце,1941-06-27,1944-08-09,56.46111,22.89417
1,Ауце,1944-08-25,1944-10-28,56.46111,22.89417
2,Ахтырка,1941-10-15,1943-02-23,50.30743182793,34.901558718752
3,Ахтырка,1943-03-11,1943-08-25,50.30743182793,34.901558718752
4,Барвенково,1941-10-24,1942-01-23,48.906666666667,37.013055555556
5,Барвенково,1942-05-18,1943-02-06,48.906666666667,37.013055555556
6,Барвенково,1943-02-28,1943-09-10,48.906666666667,37.013055555556
7,Белгород,1941-10-24,1943-02-09,50.6,36.6
8,Белгород,1943-03-18,1943-08-05,50.6,36.6
9,Богодухов,1941-10-16,1943-02-17,50.16083,35.51639
10,Богодухов,1943-03-11,1943-08-07,50.16083,35.51639
11,Борщёв,1941-07-08,1944-03-23,48.802385274006,26.040006814608
12,Борщёв,1944-03-31,1944-04-06,48.802385274006,26.040006814608
13,Бучач,1941-07-05,1944-03-24,49.064791704796,25.387276171375
14,Бучач,1944-04-06,1944-07-21,49.064791704796,25.387276171375
15,Валки,1941-10-19,1943-02-25,49.5019,35.3718
16,Валки,1943-03-07,1943-09-16,49.5019,35.3718
17,Великие Луки,1941-07-19,1941-07-21,56.21,30.31
18,Великие Луки,1941-08-25,1943-01-17,56.21,30.31
19,Вилкавишкис,1941-06-22,1944-08-02,54.66667,23.03333
20,Вилкавишкис,1944-08-09,1944-08-17,54.66667,23.03333
21,Волчанск,1941-10-31,1941-11-12,50.1717,36.5646
22,Волчанск,1942-07-11,1943-02-09,50.1717,36.5646
23,Гадяч,1941-09-27,1943-02-26,50.371080026273,33.989054884479
24,Гадяч,1943-03-01,1943-09-11,50.371080026273,33.989054884479
25,Гайсин,1941-07-25,1943-11-18,48.80944,29.39056
26,Гайсин,1943-11-19,1944-03-14,48.80944,29.39056
27,Городенка,1941-07-05,1944-03-25,48.6675,25.50028
28,Городенка,1941-07-10,1943-12-24,48.6675,25.50028
29,Городенка,1941-06-30,1944-07-27,48.6675,25.50028
30,Горохов,1941-06-24,1944-04-02,50.2958,24.4554
31,Горохов,1944-04-06,1944-07-13,50.2958,24.4554
32,Горское,1942-07-11,1943-02-08,48.4431,38.2937
33,Горское,1943-03-03,1943-09-03,48.4431,38.2937
34,Грайворон,1941-10-19,1943-02-16,50.48333,35.66667
35,Грайворон,1943-03-13,1943-08-07,50.48333,35.66667
36,Дорогобуж,1941-10-05,1942-02-15,54.92,33.30778
37,Дорогобуж,1942-06-07,1943-09-01,54.92,33.30778
38,Дружковка,1941-10-26,1943-02-06,48.62028,37.52778
39,Дружковка,1943-02-09,1943-09-06,48.62028,37.52778
40,Ельня,1941-07-19,1941-09-06,54.56667,33.16667
41,Ельня,1941-10-06,1945-08-30,54.56667,33.16667
42,Житомир,1941-07-09,1943-11-12,50.25444,28.65778
43,Житомир,1943-11-19,1943-12-31,50.25444,28.65778
44,Жлобин,1941-07-03,1941-07-13,52.9,30.03333
45,Жлобин,1941-08-14,1944-06-26,52.9,30.03333
46,Керчь,1941-11-16,1941-12-30,45.33861,36.46806
47,Керчь,1942-05-15,1944-04-11,45.33861,36.46806
48,Коростень,1941-08-08,1943-11-17,50.95,28.65
49,Коростень,1943-11-27,1943-12-29,50.95,28.65
50,Коростышев,1941-07-09,1943-11-11,50.31861,29.05917
51,Коростышев,1943-11-20,1943-12-28,50.31861,29.05917
52,Краматорск,1941-10-27,1943-02-05,48.73778,37.58417
53,Краматорск,1943-02-27,1943-09-06,48.73778,37.58417
54,Красноармейск,1941-10-19,1943-02-11,56.0722,38.0846
55,Красноармейск,1943-02-20,1943-09-08,56.0722,38.0846
56,Кропоткин,1942-08-04,1943-01-28,45.26,40.34
57,Кропоткин,1941-06-29,1944-08-08,45.26,40.34
58,Лебедин,1941-10-10,1943-02-23,50.583054119944,34.482346384831
59,Лебедин,1943-03-10,1943-08-19,50.583054119944,34.482346384831
60,Лисичанск,1942-07-10,1943-02-06,48.91694,38.43056
61,Лисичанск,1943-03-03,1943-09-02,48.91694,38.43056
62,Лозовая,1941-10-11,1942-01-27,48.8892,36.3161
63,Лозовая,1942-05-23,1943-02-11,48.8892,36.3161
64,Лозовая,1943-03-01,1943-09-16,48.8892,36.3161
65,Люботин,1941-10-20,1943-02-22,49.948888888889,35.930555555556
66,Люботин,1943-03-09,1943-08-29,49.948888888889,35.930555555556
67,Людиново,1941-10-04,1942-01-09,53.86667,34.46667
68,Людиново,1942-01-17,1943-09-09,53.86667,34.46667
69,Мерефа,1941-10-21,1943-02-18,49.819722222222,36.068611111111
70,Мерефа,1943-03-13,1943-09-05,49.819722222222,36.068611111111
71,Монастыриска,1941-07-04,1944-03-26,49.08889,25.16944
72,Монастыриска,1944-04-06,1944-07-21,49.08889,25.16944
73,Надворная,1941-07-03,1944-03-29,48.63333,24.58333
74,Надворная,1944-04-18,1944-07-25,48.63333,24.58333
75,Павлоград,1941-10-11,1943-02-17,48.52,35.87
76,Павлоград,1943-02-22,1943-09-18,48.52,35.87
77,Подгайцы,1941-07-04,1944-03-26,49.26667,25.13333
78,Подгайцы,1944-04-05,1944-07-21,49.26667,25.13333
79,Приекуле,1941-06-27,1945-05-09,56.44722,21.59333
80,Приекуле,1941-06-23,1944-07-22,56.44722,21.59333
81,Радомышль,1941-07-20,1943-11-11,50.49472,29.23333
82,Радомышль,1943-12-13,1943-12-26,50.49472,29.23333
83,Расейняй,1941-06-23,1944-08-09,55.36667,23.11667
84,Расейняй,1944-08-15,1944-10-07,55.36667,23.11667
85,Рогачев,1941-07-03,1941-07-13,53.1,30.05
86,Рогачев,1941-08-14,1944-02-24,53.1,30.05
87,Ростов-на-Дону,1941-11-21,1941-11-29,47.1426,39.4238
88,Ростов-на-Дону,1942-07-24,1943-02-14,47.1426,39.4238
89,Севск,1941-10-01,1943-03-02,52.15,34.49389
90,Севск,1943-03-27,1943-08-27,52.15,34.49389
91,Сквира,1941-07-14,1943-12-29,49.73333,29.68333
92,Сквира,1941-07-01,1944-08-09,49.73333,29.68333
93,Сквира,1941-11-25,1941-11-28,49.73333,29.68333
94,Славянск,1941-10-28,1943-02-17,48.87,37.625
95,Славянск,1943-03-01,1943-09-06,48.87,37.625
96,Сольцы,1941-07-13,1941-07-16,58.11667,30.31667
97,Сольцы,1941-07-22,1944-02-21,58.11667,30.31667
98,Тлумач,1941-07-05,1944-03-29,48.866861,25.001194
99,Тлумач,1944-04-18,1944-07-25,48.866861,25.001194
100,Тростянец,1941-10-16,1943-02-21,50.283,34.5818
101,Тростянец,1943-03-11,1943-08-19,50.283,34.5818
102,Тукумс,1941-06-27,1944-07-30,56.96694,23.15306
103,Тукумс,1944-08-21,1945-05-08,56.96694,23.15306
104,Феодосия,1941-11-03,1941-12-29,45.04889,35.37917
105,Феодосия,1942-01-18,1944-04-13,45.04889,35.37917
106,Харьков,1941-10-25,1943-02-16,50,36.16667
107,Харьков,1943-03-16,1943-08-23,50,36.16667
108,Ходоров,1941-07-02,1944-07-27,49.41,24.30944
109,Ходоров,1941-08-03,1944-02-21,49.41,24.30944
110,Хыров,1941-06-28,1944-07-27,49.53556,22.85444
111,Хыров,1944-07-30,1944-08-08,49.53556,22.85444
112,Харьков,1941-10-25,1943-02-16,50,36.16667
113,Харьков,1943-03-16,1943-08-23,50,36.16667
114,Ходоров,1941-07-02,1944-07-27,49.41,24.30944
115,Ходоров,1941-08-03,1944-02-21,49.41,24.30944
116,Хыров,1941-06-28,1944-07-27,49.53556,22.85444
117,Хыров,1944-07-30,1944-08-08,49.53556,22.85444
118,Чаплино,1941-10-02,1943-09-09,48.0738,36.1415
119,Чаплино,1943-09-15,1943-09-16,48.0738,36.1415
120,Чугуев,1941-10-30,1943-02-10,49.835277777778,36.675555555556
121,Чугуев,1943-03-15,1943-08-11,49.835277777778,36.675555555556
122,Ялта,1941-11-08,1944-04-15,44.49944,34.15528
123,Ялта,1941-07-02,1944-03-03,44.49944,34.15528
124,Ярцево,1941-07-16,1941-07-19,55.06667,32.68333
125,Ярцево,1941-10-05,1943-09-16,55.06667,32.68333
126,Дружба,1941-06-22,1945-01-26,52.0252,33.5623
127,Калиновка,1941-06-22,1945-01-20,49.265,28.3123
128,Берегово,1941-06-22,1944-10-26,48.2025,22.6375
129,Знаменск,1941-06-22,1945-01-23,54.37,21.13
130,Гусев,1941-06-22,1945-01-20,54.35,22.12
131,Хуст,1941-06-22,1944-10-24,48.18139,23.29778
132,Озерск,1941-06-22,1945-01-23,54.25,22.01
133,Черняховск,1941-06-22,1945-01-22,54.63333,21.81667
134,Северо-Курильск,1941-06-22,1945-08-24,50.4,156.07
135,Ясное,1941-06-22,1945-01-20,55.11,21.33
136,Калининград,1941-06-22,1945-04-09,54.71667,20.5
137,Полесск,1941-06-22,1945-01-23,54.86667,21.1
138,Ладушкин,1941-06-22,1945-03-18,54.56667,20.16667
139,Холмск,1941-06-22,1945-08-20,47.04028,142.04306
140,Клайпеда,1941-06-22,1945-01-28,55.7075,21.14278
141,Мукачево,1941-06-22,1944-10-26,48.44139,22.71361
142,Гурьевск,1941-06-22,1945-01-28,54.46,20.36
143,Крылово,1941-06-22,1945-01-26,54.205,21.332
144,Долинск,1941-06-22,1945-08-25,47.31667,142.8
145,Корсаков,1941-06-22,1945-08-25,46.38,142.46
146,Печенга,1941-06-22,1944-10-15,69.55389,31.22667
147,Балтийск,1941-06-22,1945-04-25,54.65,19.91667
148,Добровольск,1941-06-22,1945-01-16,54.46,22.3
149,Пагегяй,1941-06-22,1944-10-21,55.13611,21.90556
150,Багратионовск,1941-06-22,1945-02-10,54.38333,20.63333
151,Рахов,1941-06-22,1944-10-16,48.05,24.21667
152,Анива,1941-06-22,1945-08-26,46.43,142.31
153,Виноградов,1941-06-22,1944-10-25,48.0859,23.013
154,Поронайск,1941-06-22,1945-08-20,49.21667,143.1
155,Макаров,1941-06-22,1945-08-22,50.28,29.49
156,Гвардейск,1941-06-22,1945-01-25,54.65,21.06667
157,Советск,1941-06-22,1945-01-20,55.05,21.53
158,Южно-Сахалинск,1941-06-22,1945-08-25,46.57,142.44
159,Ужгород,1941-06-22,1944-10-27,48.62389,22.295
160,Приморск,1941-06-22,1945-04-17,60.2158,28.3649
161,Правдинск,1941-06-22,1945-01-31,54.45,21.01667
162,Мамоново,1941-06-22,1945-03-25,54.46667,19.93333
163,Славск,1941-06-22,1945-01-20,55.05,21.66667
164,Невельск,1941-06-22,1945-08-24,46.65,141.86667
165,Мамоново,1941-06-22,1945-03-25,54.46667,19.93333
166,Славск,1941-06-22,1945-01-20,55.05,21.66667
167,Невельск,1941-06-22,1945-08-24,46.65,141.86667
168,Шилуте,1941-06-22,1944-10-10,55.35,21.48333
169,Нестеров,1941-06-22,1944-10-25,54.38,22.34
170,Углегорск,1941-06-22,1945-08-17,48.19,38.17
171,Балаклава,1941-11-08,1944-04-18,44.5,33.6
172,Бежица,1941-10-06,1943-09-17,53.30833,34.30833
173,Воронеж,1942-07-06,1943-01-25,51.67167,39.21056
174,Новороссийск,1942-09-10,1943-09-16,44.71667,37.76667
175,Волгоград,1942-11-11,1943-02-02,48.71167,44.51389
176,Пыталово,1941-07-05,1944-07-22,57.06667,27.91667
177,Азов,1942-07-27,1943-02-07,47.1,39.41667
178,Айзпуте,1941-07-01,1945-05-09,56.72111,21.60167
179,Айнажи,1941-07-04,1944-09-25,57.86361,24.35861
180,Белгород-Днестровский,1941-07-28,1944-08-22,46.11,30.2
181,Алагир,1942-11-01,1942-12-24,43.04167,44.21056
182,Александрия,1941-08-06,1943-12-06,31.2,29.91667
183,Алексин,1941-11-29,1941-12-17,54.5,37.06667
184,Алитус,1941-06-22,1944-07-15,54.40139,24.04917
185,Алуксне,1941-07-05,1944-08-19,57.42389,27.05028
186,Алупка,1941-11-08,1944-04-16,44.41972,34.04306
187,Алушта,1941-11-04,1944-04-15,44.66722,34.39778
188,Ананьев,1941-08-07,1944-04-01,47.4302,29.5832
189,Анапа,1942-08-31,1943-09-21,44.893857,37.317481
190,Каменногорск,1941-08-14,1944-09-24,60.95081,29.130882
191,Антсла,1941-07-06,1944-08-13,57.83333,26.53333
192,Апе,1941-07-05,1944-08-27,57.53917,26.69278
193,Апостолово,1941-08-17,1944-02-05,47.659549603811,33.717010833357
194,Армавир,1942-08-07,1943-01-24,45.0,41.07
195,Артемовск,1941-11-01,1943-09-05,48.60444,38.00667
196,Балаклея,1941-10-30,1943-02-0В,49.456388888889,36.838888888889
197,Балвы,1941-07-04,1944-07-30,57.12917,27.26667
198,Балта,1941-08-04,1944-03-29,47.93611,29.6225
199,Бар,1941-07-16,1944-03-25,49.0441,27.4059
200,Барановичи,1941-06-27,1944-07-08,53.11667,25.98333
201,Басаргино,1942-09-01,1943-01-15,58.4827,40.1559
202,Батайск,1942-07-27,1943-02-07,47.13333,39.75
203,Бауска,1941-06-28,1944-09-14,56.40667,24.1875
204,Бахмач,1941-09-13,1943-09-09,51.18,32.82694
205,Бахчисарай,1941-11-01,1944-04-14,44.75278,33.86083
206,Белая церковь,1941-07-16,1944-01-04,49.79556,30.11667
207,Белев,1941-10-23,1941-12-31,53.8,36.13333
208,Белополье,1941-10-08,1943-09-03,51.153231219176,34.302536567278
209,Бельцы,1941-07-07,1944-03-26,47.76167,27.92889
210,Белый,1941-10-04,1943-03-10,55.5,32.56
211,Бендеры,1941-07-21,1944-08-23,46.83056,29.47111
212,Бердичев,1941-07-07,1944-01-05,49.89194,28.6
213,Бережаны,1941-07-03,1944-07-22,49.44611,24.93861
214,Береза,1941-06-23,1944-07-15,52.33,24.58
215,Берестечко,1941-06-24,1944-04-02,50.35,25.11667
216,Берислав,1941-08-29,1944-03-11,46.83333,33.41667
217,Бобринец,1941-08-06,1944-03-16,48.05778,32.15806
218,Бобрка,1941-07-01,1944-07-27,49.63583,24.29361
219,Бобруйск,1941-06-28,1944-06-29,53.1,29.21667
220,Богородицк,1941-11-15,1941-12-15,53.76667,38.13333
221,Богуслав,1941-07-26,1944-02-03,49.33,30.53
222,Богучар,1942-07-10,1942-12-19,49.93333,40.55
223,Антрацит,1942-07-19,1943-02-20,48.07,39.05
224,Болград,1941-07-20,1944-08-24,45.68444,28.61278
225,Болехов,1941-07-03,1944-08-07,49.06694,23.85139
226,Болхов,1941-10-09,1943-07-28,53.45,36
227,Токмак,1941-10-07,1943-09-20,47.1505,35.4221
228,Борислав,1941-07-01,1944-08-07,49.1721,23.2508
229,Борисов,1941-07-02,1944-07-01,54.14,28.3
230,Боровск,1941-10-15,1942-01-04,55.2,36.48333
231,Браслав,1941-06-27,1944-07-06,55.64333,27.06139
232,Броды,1941-06-30,1944-07-17,50.07806,25.15417
233,Брянск,1941-10-06,1943-09-17,53.25,34.36667
234,Будённовск,1942-08-18,1943-01-10,44.79,44.14
235,Буск,1941-06-30,1944-07-18,49.96667,24.61667
236,Валга,1941-07-10,1944-09-19,57.78333,26.03333
237,Валдемарпилс,1941-07-03,1945-05-10,57.37056,22.59194
238,Валка,1941-07-10,1944-09-19,57.77528,26.02139
239,Валмиера,1941-07-04,1944-09-24,57.53806,25.42306
240,Валуйки,1942-07-06,1943-01-19,50.18333,38.11667
241,Вапнярка,1941-07-22,1944-03-16,48.32,28.45
242,Варакляны,1941-07-01,1944-08-02,56.60778,26.755
243,Васильков,1941-07-31,1943-11-06,50.1775,30.32167
244,Вашковцы,1941-07-06,1944-03-31,48.2231,25.2952
245,Велиж,1941-07-14,1943-09-20,55.6,31.2
246,Венёв,1941-11-24,1941-12-09,54.35,38.26667
247,Вентспилс,1941-06-27,1945-05-10,57.38972,21.56444
248,Вердино,1941-07-15,1943-07-30,55.44,32.3025
249,Верея,1941-10-18,1942-01-19,55.33333,36.18333
250,Верхнеднепровск,1941-08-15,1943-10-22,48.649772426607,34.330483883076
251,Ветка,1941-08-18,1943-09-28,52.3333,31.1051
252,Вижница,1941-07-06,1944-03-31,48.25,25.19167
253,Выборг,1941-08-30,1944-06-20,60.710496,28.749781
254,Вилейка,1941-06-25,1944-07-02,54.48333,26.91667
255,Вилково,1941-07-23,1944-08-24,45.39917,29.59361
256,Вильнюс,1941-06-24,1944-07-13,54.68333,25.28333
257,Вильянди,1941-07-09,1944-09-23,58.36667,25.6
258,Виляны,1941-07-02,1944-07-28,56.55278,26.92528
259,Винники,1941-06-30,1944-07-27,49.81556,24.12972
260,Винница,1941-07-21,1944-03-20,49.23333,28.46667
261,Вирбалис,1941-06-22,1944-10-17,54.6242722,22.8180611
262,Витебск,1941-07-11,1944-06-26,55.18333,30.16667
263,Владимир-Волынский,1941-06-23,1944-07-20,50.5053,24.192
264,Вознесенск,1941-08-07,1944-03-24,47.5725,31.31194
265,Волковыск,1941-06-28,1944-07-14,53.16667,24.46667
266,Волноваха,1941-10-13,1943-09-10,47.59778,37.48361
267,Волоколамск,1941-10-27,1941-12-20,56.03333,35.95
268,Воропоново,1942-09-03,1943-01-22,48.68667,44.32111
269,Ворошиловград,1942-07-17,1943-02-14,48.58333,39.33333
270,Коммунарск,1942-07-13,1943-09-02,48.46722,38.79833
271,Ставрополь,1942-08-05,1943-01-21,45.03333,41.96667
272,Выру,1941-07-10,1944-08-13,57.835,27.015
273,Высоковск,1941-11-21,1941-12-16,56.31667,36.55
274,Высокое,1941-06-23,1944-07-28,52.22,23.22
275,Вязьма,1941-10-07,1943-03-12,55.21028,34.285
276,Галич,1941-07-02,1944-07-24,58.23,42.21
277,Гдов,1941-07-19,1944-02-04,58.73333,27.81667
278,Геническ,1941-09-16,1943-10-30,46.17694,34.79889
279,Георгиевск,1942-08-15,1943-01-10,44.15,43.46667
280,Герца,1941-07-04,1944-03-31,48.15,26.25
281,Гагарин,1941-10-09,1943-03-06,-71.967,9.35
282,Глубокое,1941-07-02,1944-07-03,55.08,27.41
283,Глухов,1941-09-09,1943-08-30,51.676457594263,33.907781433829
284,Гомель,1941-08-19,1943-11-26,52.44167,31
285,Горки,1941-07-12,1944-06-26,54.17,30.59
286,Горловка,1941-11-02,1943-09-04,48.33361,38.0925
287,Гробиня,1941-06-26,1945-05-10,56.53583,21.16556
288,Гродно,1941-06-23,1944-07-16,53.66667,23.81667
289,Гулбене,1941-07-03,1944-08-28,57.175,26.75639
290,Гусятин,1941-07-07,1944-03-24,49.070811307796,26.19387898412
291,Давид-городок,1941-07-07,1944-07-09,52.05556,27.21389
292,Даугавпилс,1941-06-26,1944-07-27,55.87139,26.51611
293,Дебальцево,1941-12-07,1941-09-03,48.34111,38.42778
294,Демидов,1941-07-13,1943-09-22,55.16,31.31
295,Джанкой,1941-10-31,1944-04-11,45.70861,34.39333
296,Донецкая область,1941-10-28,1943-09-05,48.14,37.74
297,Минская область,1941-06-28,1944-07-07,53.66666667,27.75
298,Дисна,1941-07-05,1944-07-04,55.3346,28.1333
299,Дмитриев-Льговский,1941-10-08,1943-03-02,52.0744,35.0432
300,Дмитровск-Орловский,1941-10-02,1943-08-12,52.302,35.0829
301,Днепродзержинск,1941-08-24,1943-10-25,48.507634690383,34.613190310481
302,Днепропетровск,1941-08-25,1943-10-25,48.466600814241,35.018155140697
303,Дно,1941-07-18,..-.0-02,57.5,29.58
304,Добеле,1941-06-28,1944-07-31,56.62417,23.28
305,Добромиль,1941-06-28,1944-07-27,49.56667,22.78333
306,Добруш,1941-08-21,1943-10-10,52.41667,31.31667
307,Докшицы,1941-07-09,1944-07-02,54.88333,27.76667
308,Долина,1941-07-03,1944-07-31,48.5813,24.0039
309,Дубровица,1941-07-09,1944-01-10,51.56667,26.56667
310,Амвросиевка,1941-10-21,1943-08-23,47.795803,38.480092
311,Донской,1941-11-26,1941-12-13,53.58,38.19
312,Верхнедвинск,1941-07-03,1944-07-12,55.76667,27.93333
313,Дрогобыч,1941-07-01,1944-08-06,49.35,23.5
314,Дубно,1941-06-25,1944-03-17,50.39306,25.735
315,Дубровно,1941-07-16,1944-06-26,54.56667,30.68333
316,Дурбе,1941-06-30,1945-05-09,56.58833,21.36889
317,Духовщина,1941-07-15,1943-09-19,55.2,32.41667
318,Дятьково,1941-10-09,1943-09-15,53.6,34.33333
319,Евпатория,1941-10-31,1944-04-13,45.2,33.35833
320,Ейск,1942-08-09,1943-02-05,46.71056,38.27778
321,Екабпилс,1941-06-28,1944-08-09,56.4975,25.86639
322,Елгава,1941-06-29,1944-08-01,56.65222,23.72444
323,Елец,1941-12-05,1941-12-09,52.61667,38.46667
324,Ессентуки,1942-08-10,1943-01-11,44.04306,42.86417
325,Ефремов,1941-11-23,1941-12-13,53.0857,38.0457
326,Жагаре,1941-06-26,1944-07-29,56.35833,23.25
327,Железноводск,1942-08-10,1943-01-12,44.13333,43.03333
328,Жидачов,1941-07-01,1944-08-01,49.38333,24.13333
329,Жиздра,1941-10-05,1943-08-16,53.4501,34.441
330,Жмеринка,1941-07-17,1944-03-20,49.0425,28.09917
331,Нестеров,1941-06-29,1944-07-23,54.38,22.34
332,Залещики,1941-07-07,1944-03-24,48.639241488656,25.737360606667
333,Западная Двина,1941-10-06,1942-01-21,56.16,32.05
334,Запорожье,1941-10-04,1943-10-14,47.85,35.1175
335,Зарасай,1941-06-25,1944-07-29,55.73056,26.24722
336,Збараж,1941-07-02,1944-03-06,49.664574286972,25.775386058654
337,Зборов,1941-07-02,1944-07-20,49.661605155854,25.146931109789
338,Звенигородка,1941-07-29,1944-01-28,49.08333,30.96667
339,Здолбунов,1941-06-28,1944-02-03,50.51444,26.24944
340,Зеньков,1941-10-09,1943-09-06,50.208139083815,34.366841820448
341,Зилупе,1941-07-06,1944-07-18,56.38556,28.1225
342,Зимовники,1942-08-07,1943-01-08,47.0842,42.28
343,Злынка,1941-08-25,1943-09-26,52.43333,31.73333
344,Знаменка,1941-08-05,1943-12-09,48.4249,32.4024
345,Золотое,1942-07-12,1943-09-03,48.68333,38.51667
346,Золотоноша,1941-09-19,1943-09-22,49.68333,32.03333
347,Золочев,1941-07-01,1944-07-17,49.4833,24.5402
348,Зубцов,1941-10-11,1942-08-23,56.16667,34.58333
349,Зугрэс,1941-10-25,1943-09-03,48.0181028,38.2562778
350,Идрица,1941-07-15,1944-07-12,56.31667,28.88333
351,Измаил,1941-07-19,1944-08-05,45.35,28.83333
352,Изюм,1942-06-24,1943-02-05,49.1326,37.1729
353,Изяслав,1941-07-05,1944-03-05,50.07,26.48
354,Иловайск,1941-10-22,1943-09-04,47.925,38.19722
355,Илуксте,1941-06-28,1944-07-29,55.97806,26.29667
356,Ионава,1941-06-25,4944-07-29,55.07222,24.28056
357,Ионишкис,1941-06-26,1944-07-28,56.24335,23.617859
358,Ирмино,1942-07-12,1943-09-03,48.6,38.6
359,Истра,1941-11-27,1941-12-11,55.55,36.52
360,Йыгева,1941-07-15,1944-09-20,58.73333,26.38333
361,Кагул,1941-07-20,1944-08-25,45.5427,28.114
362,Казатин,1941-07-15,1943-12-28,55.75167,37.61778
363,Калараш,1941-07-14,1944-08-23,47.25444,28.30806
364,Калвария,1941-06-22,1944-08-01,54.41472,23.22806
365,Калинин,1941-10-17,1941-12-16,56.5128,35.5518
366,Калинковичи,1941-08-22,1944-01-14,52.13333,29.33333
367,Калласте,1941-07-25,1944-09-18,58.66667,27.16667
368,Калуга,1941-10-13,1941-12-30,54.53333,36.26667
369,Калуш,1941-07-02,1944-07-30,49.04417,24.35972
370,Каменец-Подольский,1941-07-11,1944-03-26,48.405,26.345
371,Каменка-Бугская,1941-06-29,1944-07-20,50.0629,24.2044
372,Каменск-Шахтинский,1942-07-18,1943-02-13,48.19,40.16
373,Камень-Каширский,1941-06-30,1944-03-13,51.3727,24.5738
374,Кандава,1941-07-03,1945-05-09,57.03639,22.77611
375,Канев,1941-08-16,1944-01-30,49.74472,31.45583
376,Кантемировка,1942-07-10,1942-12-19,49.70167,39.85361
377,Белогорск,1941-11-03,1944-04-13,45.0316,34.3608
378,Карачев,1941-10-06,1943-08-15,53.11667,34.98333
